,bandwidth,startTime,sendTime,1,2
0,736,30,5,0.0,30.0
0,736,30,5,0.0,0.0
1,805,27,47,4.0,113.0
2,314,47,47,0.0,47.0
3,895,26,2,0.0,26.0
4,693,28,4,0.0,28.0
5,353,29,44,0.0,29.0
6,529,29,11,0.0,29.0
7,891,22,2,0.0,22.0
8,792,33,28,0.0,33.0
9,119,2,16,3.0,2.0
10,837,34,9,0.0,34.0
11,220,42,9,0.0,42.0
12,823,24,49,0.0,119.0
13,104,45,4,0.0,45.0
14,76,48,40,0.0,48.0
15,390,47,9,0.0,47.0
16,379,4,24,0.0,4.0
17,981,8,27,0.0,8.0
18,754,44,16,0.0,44.0
19,183,23,38,0.0,23.0
20,86,39,5,0.0,39.0
21,417,32,32,0.0,32.0
22,489,29,13,0.0,29.0
23,92,5,50,5.0,5.0
24,998,45,9,0.0,45.0
25,233,30,42,0.0,30.0
26,959,15,41,0.0,15.0
27,264,33,47,0.0,45.0
28,315,6,20,0.0,6.0
29,669,3,26,3.0,3.0
30,978,24,15,0.0,24.0
31,29,39,38,0.0,39.0
32,101,3,12,3.0,3.0
33,957,8,12,0.0,8.0
34,941,42,42,0.0,42.0
35,45,22,37,0.0,22.0
36,241,1,38,0.0,8.0
37,860,30,26,0.0,30.0
38,535,46,20,0.0,46.0
39,324,26,18,0.0,26.0
40,347,26,23,0.0,26.0
41,680,32,23,0.0,32.0
42,814,47,18,0.0,47.0
43,816,14,42,0.0,15.0
44,364,13,36,0.0,13.0
45,554,4,40,0.0,11.0
46,985,24,5,0.0,24.0
47,390,50,41,0.0,50.0
48,635,5,30,0.0,5.0
49,425,16,27,0.0,16.0
50,321,23,17,0.0,23.0
51,871,8,41,0.0,13.0
52,887,26,15,0.0,26.0
53,365,28,3,0.0,28.0
54,221,41,5,0.0,41.0
55,592,10,49,6.0,10.0
56,363,49,22,0.0,49.0
57,450,1,6,1.0,2.0
58,752,25,21,0.0,25.0
59,923,7,32,0.0,7.0
60,341,29,50,3.0,62.0
61,613,30,47,0.0,46.0
62,277,44,46,0.0,44.0
63,938,45,40,0.0,45.0
64,422,40,20,0.0,40.0
65,176,4,36,0.0,7.0
66,645,3,49,2.0,3.0
67,811,33,7,0.0,33.0
68,240,24,34,0.0,24.0
69,103,34,24,0.0,34.0
70,742,30,33,0.0,30.0
71,160,30,19,0.0,30.0
72,458,41,30,0.0,41.0
73,807,34,29,0.0,34.0
74,446,39,13,0.0,39.0
75,979,44,48,6.0,154.0
76,750,45,5,0.0,45.0
77,797,48,42,0.0,48.0
78,88,30,32,0.0,30.0
79,544,37,41,0.0,37.0
80,433,31,38,0.0,31.0
81,165,41,6,0.0,41.0
82,789,16,29,0.0,16.0
83,307,6,49,7.0,6.0
84,232,30,29,0.0,30.0
85,968,32,43,0.0,32.0
86,345,16,10,0.0,16.0
87,344,38,9,0.0,38.0
88,121,18,4,0.0,18.0
89,614,48,21,0.0,48.0
90,384,29,36,0.0,29.0
91,31,40,43,0.0,40.0
92,623,31,9,0.0,31.0
93,765,29,40,0.0,29.0
94,584,36,18,0.0,36.0
95,979,21,39,0.0,21.0
96,468,31,12,0.0,31.0
97,414,12,24,0.0,12.0
98,952,30,11,0.0,30.0
99,493,18,21,0.0,18.0
100,219,34,19,0.0,34.0
101,515,39,39,0.0,39.0
102,503,2,12,4.0,2.0
103,829,23,1,0.0,23.0
104,591,14,1,0.0,14.0
105,664,12,15,0.0,12.0
106,745,38,7,0.0,38.0
107,821,9,20,0.0,9.0
108,806,32,21,0.0,32.0
109,609,20,42,0.0,20.0
110,909,37,5,0.0,37.0
111,997,44,50,0.0,156.0
112,491,23,50,6.0,74.0
113,784,42,43,0.0,42.0
114,617,7,27,0.0,7.0
115,865,23,19,0.0,23.0
116,267,29,3,0.0,29.0
117,35,9,43,0.0,18.0
118,320,18,6,0.0,18.0
119,561,32,8,0.0,32.0
120,268,50,37,0.0,50.0
121,654,4,43,0.0,20.0
122,296,35,24,0.0,35.0
123,837,5,28,0.0,5.0
124,21,47,2,0.0,47.0
125,441,12,47,6.0,12.0
126,107,27,13,0.0,27.0
127,687,1,37,0.0,7.0
128,802,23,23,0.0,23.0
129,765,1,24,0.0,3.0
130,372,34,18,0.0,34.0
131,971,4,3,0.0,4.0
132,181,24,16,0.0,24.0
133,897,36,22,0.0,36.0
134,613,5,48,5.0,5.0
135,29,28,7,0.0,28.0
136,958,9,28,0.0,9.0
137,451,48,9,0.0,48.0
138,835,5,6,0.0,5.0
139,26,11,23,0.0,11.0
140,709,6,5,0.0,6.0
141,472,0,27,4.0,4.0
142,707,25,20,0.0,25.0
143,994,0,41,0.0,12.0
144,102,25,49,3.0,48.0
145,733,12,28,0.0,12.0
146,184,46,49,5.0,54.0
147,597,34,2,0.0,34.0
148,696,32,1,0.0,32.0
149,754,34,20,0.0,34.0
150,628,7,47,0.0,7.0
151,873,22,48,4.0,133.0
152,582,12,10,0.0,12.0
153,660,32,35,0.0,32.0
154,567,1,19,2.0,3.0
155,67,42,3,0.0,42.0
156,886,21,5,0.0,21.0
157,851,37,49,2.0,131.0
158,972,10,22,0.0,10.0
159,780,31,44,0.0,31.0
160,327,15,13,0.0,15.0
161,756,3,40,0.0,11.0
162,842,47,5,0.0,47.0
163,596,40,10,0.0,40.0
164,22,1,46,0.0,41.0
165,531,1,25,5.0,3.0
166,989,33,19,0.0,33.0
167,315,12,23,0.0,12.0
168,214,30,8,0.0,30.0
169,36,8,2,0.0,8.0
170,120,48,22,0.0,48.0
171,311,46,19,0.0,46.0
172,222,14,22,0.0,14.0
173,972,49,32,0.0,49.0
174,546,8,39,0.0,10.0
175,192,4,31,0.0,4.0
176,951,36,28,0.0,36.0
177,141,39,11,0.0,39.0
178,929,29,46,0.0,33.0
179,342,6,14,0.0,6.0
180,263,21,43,0.0,21.0
181,938,47,19,0.0,47.0
182,458,39,1,0.0,39.0
183,977,34,2,0.0,34.0
184,615,6,18,0.0,6.0
185,589,47,7,0.0,47.0
186,458,4,31,0.0,4.0
187,632,20,23,0.0,20.0
188,835,36,11,0.0,36.0
189,985,18,7,0.0,18.0
190,700,10,33,0.0,10.0
191,176,28,13,0.0,28.0
192,712,9,31,0.0,9.0
193,760,49,14,0.0,49.0
194,524,37,3,0.0,37.0
195,114,43,17,0.0,43.0
196,330,35,19,0.0,35.0
197,650,37,20,0.0,37.0
198,696,22,44,0.0,23.0
199,37,21,47,4.0,21.0
200,445,22,42,0.0,22.0
201,954,45,36,0.0,45.0
202,702,39,12,0.0,39.0
203,83,38,6,0.0,38.0
204,202,33,36,0.0,33.0
205,988,22,32,0.0,22.0
206,514,3,11,7.0,3.0
207,958,24,28,0.0,24.0
208,273,36,28,0.0,36.0
209,766,35,19,0.0,35.0
210,85,38,18,0.0,38.0
211,997,4,28,0.0,4.0
212,749,13,17,0.0,13.0
213,460,27,36,0.0,27.0
214,230,30,45,0.0,30.0
215,562,27,12,0.0,27.0
216,191,28,34,0.0,28.0
217,649,36,40,0.0,36.0
218,124,46,50,3.0,49.0
219,256,12,11,0.0,12.0
220,91,47,15,0.0,47.0
221,529,9,19,0.0,9.0
222,354,22,3,0.0,22.0
223,695,10,1,0.0,10.0
224,419,22,15,0.0,22.0
225,964,26,13,0.0,26.0
226,751,22,47,0.0,106.0
227,676,28,43,0.0,28.0
228,934,25,28,0.0,25.0
229,778,20,18,0.0,20.0
230,938,5,49,7.0,5.0
231,92,44,12,0.0,44.0
232,501,44,19,0.0,44.0
233,125,24,30,0.0,24.0
234,420,49,42,0.0,49.0
235,17,30,31,0.0,30.0
236,290,4,45,0.0,28.0
237,266,0,7,2.0,2.0
238,301,11,14,0.0,11.0
239,334,31,37,0.0,31.0
240,463,27,13,0.0,27.0
241,401,18,25,0.0,18.0
242,450,4,14,0.0,4.0
243,987,16,46,0.0,33.0
244,991,17,13,0.0,17.0
245,858,34,12,0.0,34.0
246,946,27,24,0.0,27.0
247,934,43,38,0.0,43.0
248,460,33,14,0.0,33.0
249,645,18,2,0.0,18.0
250,925,19,4,0.0,19.0
251,97,3,20,4.0,3.0
252,420,31,13,0.0,31.0
253,47,15,13,0.0,15.0
254,746,10,12,0.0,10.0
255,905,36,15,0.0,36.0
256,754,40,13,0.0,40.0
257,76,29,24,0.0,29.0
258,686,14,22,0.0,14.0
259,425,43,16,0.0,43.0
260,887,43,13,0.0,43.0
261,37,36,18,0.0,36.0
262,264,48,45,0.0,48.0
263,522,10,42,0.0,18.0
264,26,34,45,0.0,34.0
265,223,42,25,0.0,42.0
266,184,14,11,0.0,14.0
267,108,10,20,0.0,10.0
268,712,2,19,7.0,3.0
269,824,42,4,0.0,42.0
270,69,13,45,0.0,30.0
271,850,46,37,0.0,46.0
272,718,32,4,0.0,32.0
273,584,33,46,0.0,33.0
274,409,14,8,0.0,14.0
275,332,41,35,0.0,41.0
276,571,48,42,0.0,48.0
277,251,37,18,0.0,37.0
278,619,18,4,0.0,18.0
279,773,17,37,0.0,17.0
280,91,25,35,0.0,25.0
281,203,46,12,0.0,46.0
282,181,36,43,0.0,36.0
283,35,29,9,0.0,29.0
284,769,50,7,0.0,50.0
285,937,37,27,0.0,37.0
286,754,18,3,0.0,18.0
287,590,41,48,1.0,87.0
288,942,40,24,0.0,40.0
289,229,42,4,0.0,42.0
290,210,36,46,0.0,36.0
291,163,43,21,0.0,43.0
292,108,49,16,0.0,49.0
293,961,44,6,0.0,44.0
294,38,12,31,0.0,12.0
295,689,23,32,0.0,23.0
296,957,6,7,0.0,6.0
297,816,17,2,0.0,17.0
298,518,46,31,0.0,46.0
299,92,49,7,0.0,49.0
300,483,37,3,0.0,37.0
301,356,34,47,0.0,46.0
302,43,4,29,0.0,4.0
303,664,40,47,0.0,47.0
304,333,48,46,0.0,48.0
305,657,12,28,0.0,12.0
306,734,50,3,0.0,50.0
307,147,41,10,0.0,41.0
308,530,31,6,0.0,31.0
309,730,12,33,0.0,12.0
310,702,27,14,0.0,27.0
311,699,5,23,0.0,5.0
312,660,24,26,0.0,24.0
313,659,5,15,0.0,5.0
314,574,3,32,0.0,5.0
315,543,28,32,0.0,28.0
316,430,8,25,0.0,8.0
317,217,17,41,0.0,17.0
318,572,43,39,0.0,43.0
319,777,26,3,0.0,26.0
320,739,22,18,0.0,22.0
321,861,12,33,0.0,12.0
322,801,39,48,2.0,113.0
323,551,39,21,0.0,39.0
324,645,16,18,0.0,16.0
325,437,50,21,0.0,50.0
326,706,5,4,0.0,5.0
327,182,43,2,0.0,43.0
328,945,32,20,0.0,32.0
329,61,18,35,0.0,18.0
330,909,14,45,0.0,29.0
331,35,35,17,0.0,35.0
332,428,29,49,6.0,70.0
333,757,49,28,0.0,49.0
334,350,39,22,0.0,39.0
335,705,48,27,0.0,48.0
336,648,36,36,0.0,36.0
337,942,36,39,0.0,36.0
338,353,23,18,0.0,23.0
339,524,18,46,0.0,40.0
340,681,9,48,1.0,9.0
341,417,29,40,0.0,29.0
342,153,34,40,0.0,34.0
343,123,1,46,0.0,40.0
344,354,12,45,0.0,31.0
345,600,0,32,0.0,5.0
346,923,23,43,0.0,23.0
347,736,25,22,0.0,25.0
348,243,15,20,0.0,15.0
349,489,24,23,0.0,24.0
350,207,41,37,0.0,41.0
351,918,6,7,0.0,6.0
352,200,1,29,0.0,4.0
353,838,8,40,0.0,12.0
354,944,34,46,0.0,36.0
355,872,10,21,0.0,10.0
356,349,39,16,0.0,39.0
357,484,8,30,0.0,8.0
358,50,12,33,0.0,12.0
359,82,34,4,0.0,34.0
360,198,50,29,0.0,50.0
361,883,12,23,0.0,12.0
362,654,22,45,0.0,28.0
363,396,48,5,0.0,48.0
364,517,32,44,0.0,32.0
365,687,27,5,0.0,27.0
366,301,47,3,0.0,47.0
367,71,18,5,0.0,18.0
368,746,20,33,0.0,20.0
369,979,5,47,7.0,5.0
370,279,41,28,0.0,41.0
371,505,40,32,0.0,40.0
372,445,28,24,0.0,28.0
373,313,50,29,0.0,50.0
374,759,38,11,0.0,38.0
375,461,41,2,0.0,41.0
376,354,16,16,0.0,16.0
377,895,11,19,0.0,11.0
378,584,19,24,0.0,19.0
379,785,0,40,0.0,12.0
380,356,22,42,0.0,22.0
381,832,48,13,0.0,48.0
382,912,27,7,0.0,27.0
383,668,47,8,0.0,47.0
384,831,49,25,0.0,49.0
385,272,12,4,0.0,12.0
386,92,43,38,0.0,43.0
387,874,21,32,0.0,21.0
388,441,45,21,0.0,45.0
389,710,25,23,0.0,25.0
390,292,1,46,0.0,35.0
391,229,0,20,3.0,3.0
392,905,44,42,0.0,44.0
393,134,35,9,0.0,35.0
394,902,44,42,0.0,44.0
395,471,16,30,0.0,16.0
396,975,44,39,0.0,44.0
397,679,42,3,0.0,42.0
398,887,21,12,0.0,21.0
399,470,27,22,0.0,27.0
400,862,49,15,0.0,49.0
401,852,29,36,0.0,29.0
402,280,18,12,0.0,18.0
403,586,33,28,0.0,33.0
404,766,28,32,0.0,28.0
405,779,26,36,0.0,26.0
406,761,25,25,0.0,25.0
407,597,37,42,0.0,37.0
408,936,18,47,5.0,146.0
409,376,3,3,1.0,3.0
410,698,38,42,0.0,38.0
411,340,3,48,0.0,3.0
412,593,2,26,1.0,4.0
413,151,34,34,0.0,34.0
414,34,26,8,0.0,26.0
415,244,1,18,5.0,2.0
416,248,16,10,0.0,16.0
417,412,41,20,0.0,41.0
418,362,46,11,0.0,46.0
419,14,0,38,0.0,9.0
420,28,45,2,0.0,45.0
421,316,3,12,3.0,3.0
422,706,33,20,0.0,33.0
423,114,43,38,0.0,43.0
424,820,38,38,0.0,38.0
425,935,12,35,0.0,12.0
426,356,12,27,0.0,12.0
427,683,31,47,0.0,47.0
428,121,42,37,0.0,42.0
429,569,32,18,0.0,32.0
430,957,32,1,0.0,32.0
431,322,15,6,0.0,15.0
432,321,21,3,0.0,21.0
433,856,2,43,0.0,19.0
434,797,44,25,0.0,44.0
435,734,32,7,0.0,32.0
436,539,50,23,0.0,50.0
437,831,20,41,0.0,20.0
438,518,39,50,6.0,77.0
439,766,21,43,0.0,22.0
440,744,26,37,0.0,26.0
441,707,37,27,0.0,37.0
442,554,46,4,0.0,46.0
443,293,7,9,0.0,7.0
444,890,30,32,0.0,30.0
445,796,38,14,0.0,38.0
446,731,14,22,0.0,14.0
447,515,16,3,0.0,16.0
448,278,7,10,0.0,7.0
449,365,44,45,0.0,44.0
450,841,36,16,0.0,36.0
451,589,32,13,0.0,32.0
452,536,43,6,0.0,43.0
453,621,26,40,0.0,26.0
454,611,13,24,0.0,13.0
455,262,7,38,0.0,8.0
456,490,25,43,0.0,25.0
457,114,36,4,0.0,36.0
458,986,22,41,0.0,22.0
459,712,22,28,0.0,22.0
460,439,21,14,0.0,21.0
461,184,8,40,0.0,11.0
462,749,7,16,0.0,7.0
463,630,19,31,0.0,19.0
464,86,5,39,0.0,9.0
465,927,10,46,0.0,34.0
466,262,25,10,0.0,25.0
467,550,47,40,0.0,47.0
468,287,36,15,0.0,36.0
469,797,47,31,0.0,47.0
470,694,11,22,0.0,11.0
471,582,23,15,0.0,23.0
472,868,39,22,0.0,39.0
473,576,26,36,0.0,26.0
474,337,46,9,0.0,46.0
475,800,33,35,0.0,33.0
476,768,46,35,0.0,46.0
477,740,44,22,0.0,44.0
478,560,36,7,0.0,36.0
479,89,18,38,0.0,18.0
480,34,17,5,0.0,17.0
481,368,26,35,0.0,26.0
482,806,9,6,0.0,9.0
483,297,2,44,0.0,25.0
484,438,32,9,0.0,32.0
485,344,25,2,0.0,25.0
486,819,38,43,0.0,38.0
487,963,50,28,0.0,50.0
488,864,45,37,0.0,45.0
489,276,41,5,0.0,41.0
490,759,23,17,0.0,23.0
491,776,21,41,0.0,21.0
492,860,5,33,0.0,5.0
493,874,36,1,0.0,36.0
494,773,43,3,0.0,43.0
495,262,36,48,0.0,58.0
496,647,41,47,0.0,47.0
497,164,0,28,0.0,4.0
498,957,47,34,0.0,47.0
499,273,7,1,0.0,7.0
500,936,28,49,7.0,148.0
501,775,40,12,0.0,40.0
502,42,24,30,0.0,24.0
503,137,12,19,0.0,12.0
504,204,18,44,0.0,24.0
505,966,39,45,0.0,39.0
506,396,21,34,0.0,21.0
507,138,4,31,0.0,4.0
508,740,21,34,0.0,21.0
509,524,36,43,0.0,36.0
510,339,42,2,0.0,42.0
511,605,2,23,7.0,3.0
512,243,30,13,0.0,30.0
513,937,7,46,0.0,37.0
514,897,34,44,0.0,34.0
515,616,38,3,0.0,38.0
516,859,17,37,0.0,17.0
517,271,14,19,0.0,14.0
518,379,0,46,0.0,41.0
519,73,30,24,0.0,30.0
520,962,50,35,0.0,50.0
521,397,5,6,0.0,5.0
522,41,38,24,0.0,38.0
523,361,12,36,0.0,12.0
524,211,46,48,5.0,54.0
525,146,7,18,0.0,7.0
526,651,0,8,3.0,2.0
527,617,42,2,0.0,42.0
528,319,45,34,0.0,45.0
529,996,22,43,0.0,22.0
530,247,30,31,0.0,30.0
531,56,22,24,0.0,22.0
532,995,47,6,0.0,47.0
533,546,24,11,0.0,24.0
534,150,49,19,0.0,49.0
535,709,30,12,0.0,30.0
536,726,44,27,0.0,44.0
537,572,22,24,0.0,22.0
538,661,17,29,0.0,17.0
539,554,25,8,0.0,25.0
540,629,16,9,0.0,16.0
541,956,46,33,0.0,46.0
542,218,19,39,0.0,19.0
543,46,17,27,0.0,17.0
544,982,11,1,0.0,11.0
545,974,16,30,0.0,16.0
546,490,19,13,0.0,19.0
547,848,40,11,0.0,40.0
548,482,43,27,0.0,43.0
549,562,8,35,0.0,8.0
550,284,32,4,0.0,32.0
551,496,28,28,0.0,28.0
552,906,39,29,0.0,39.0
553,553,5,32,0.0,5.0
554,756,2,31,0.0,4.0
555,790,48,15,0.0,48.0
556,63,25,41,0.0,25.0
557,308,47,11,0.0,47.0
558,132,49,21,0.0,49.0
559,280,3,38,0.0,9.0
560,159,16,12,0.0,16.0
561,47,6,4,0.0,6.0
562,154,22,7,0.0,22.0
563,471,13,12,0.0,13.0
564,197,28,3,0.0,28.0
565,222,10,10,0.0,10.0
566,43,50,21,0.0,50.0
567,491,43,27,0.0,43.0
568,289,11,11,0.0,11.0
569,868,27,8,0.0,27.0
570,907,33,36,0.0,33.0
571,913,14,49,2.0,14.0
572,325,7,8,0.0,7.0
573,786,22,38,0.0,22.0
574,220,12,49,6.0,12.0
575,415,12,3,0.0,12.0
576,698,23,6,0.0,23.0
577,439,35,18,0.0,35.0
578,245,43,45,0.0,43.0
579,36,9,1,0.0,9.0
580,989,50,10,0.0,50.0
581,231,9,6,0.0,9.0
582,663,12,21,0.0,12.0
583,802,50,11,0.0,50.0
584,664,49,28,0.0,49.0
585,618,39,8,0.0,39.0
586,503,45,9,0.0,45.0
587,881,24,50,6.0,135.0
588,838,10,21,0.0,10.0
589,53,20,13,0.0,20.0
590,445,50,30,0.0,50.0
591,260,41,39,0.0,41.0
592,605,26,49,2.0,89.0
593,15,12,39,0.0,12.0
594,964,28,20,0.0,28.0
595,686,12,6,0.0,12.0
596,972,22,47,0.0,153.0
597,612,44,36,0.0,44.0
598,139,3,18,5.0,3.0
599,742,47,29,0.0,47.0
600,691,14,36,0.0,14.0
601,282,39,38,0.0,39.0
602,376,44,8,0.0,44.0
603,869,25,4,0.0,25.0
604,432,3,48,7.0,3.0
605,717,42,6,0.0,42.0
606,623,7,5,0.0,7.0
607,651,25,28,0.0,25.0
608,371,42,35,0.0,42.0
609,563,45,20,0.0,45.0
610,778,10,47,6.0,10.0
611,897,49,45,0.0,50.0
612,150,1,16,1.0,2.0
613,873,9,26,0.0,9.0
614,488,19,25,0.0,19.0
615,854,12,36,0.0,12.0
616,962,18,11,0.0,18.0
617,29,45,26,0.0,45.0
618,349,5,35,0.0,6.0
619,313,32,14,0.0,32.0
620,759,12,13,0.0,12.0
621,619,17,26,0.0,17.0
622,790,48,2,0.0,48.0
623,542,13,1,0.0,13.0
624,29,49,49,3.0,49.0
625,159,32,9,0.0,32.0
626,854,12,39,0.0,12.0
627,221,43,31,0.0,43.0
628,811,14,32,0.0,14.0
629,473,22,39,0.0,22.0
630,362,0,44,0.0,28.0
631,928,5,41,0.0,14.0
632,605,1,12,4.0,2.0
633,231,41,1,0.0,41.0
634,819,4,24,0.0,4.0
635,19,16,10,0.0,16.0
636,285,40,46,0.0,40.0
637,433,44,19,0.0,44.0
638,808,15,7,0.0,15.0
639,740,22,24,0.0,22.0
640,76,17,13,0.0,17.0
641,763,31,12,0.0,31.0
642,609,4,41,0.0,13.0
643,466,23,21,0.0,23.0
644,41,23,34,0.0,23.0
645,136,11,25,0.0,11.0
646,781,9,16,0.0,9.0
647,11,32,26,0.0,32.0
648,891,36,44,0.0,36.0
649,750,39,34,0.0,39.0
650,522,41,7,0.0,41.0
651,195,4,19,7.0,4.0
652,41,37,10,0.0,37.0
653,11,7,3,0.0,7.0
654,622,19,47,0.0,46.0
655,175,39,26,0.0,39.0
656,817,1,6,0.0,2.0
657,96,23,13,0.0,23.0
658,830,24,38,0.0,24.0
659,891,16,38,0.0,16.0
660,689,15,32,0.0,15.0
661,677,33,7,0.0,33.0
662,454,37,14,0.0,37.0
663,170,36,22,0.0,36.0
664,441,11,43,0.0,20.0
665,456,2,10,0.0,2.0
666,105,34,48,3.0,48.0
667,812,19,2,0.0,19.0
668,213,8,37,0.0,8.0
669,882,38,18,0.0,38.0
670,412,37,14,0.0,37.0
671,850,50,17,0.0,50.0
672,579,23,32,0.0,23.0
